tray;pot;position;genotype;treatment
21;32;21_32;Kus;Control
21;33;21_33;Schl;#1
21;34;21_34;Schl;#3
21;35;21_35;Tu-Wal_ics1;Control
21;36;21_36;Col0_acd6;Control
21;37;21_37;HE;#1
21;38;21_38;sid2-2;Control
21;39;21_39;HE;#1+s17
21;4;21_4;Col0;Control
21;40;21_40;HE;#3
21;41;21_41;Col0_acd6;#1
21;42;21_42;Tu-Wal;Control
21;43;21_43;Schl;Control
21;44;21_44;Tu-Wal_acd6;#2
21;45;21_45;Tu-Wal_acd6;#3
21;46;21_46;Lu;#2
21;47;21_47;Lu;Control
21;48;21_48;Col0;#1
21;5;21_5;Tu-Wal_ics1;#3
21;6;21_6;Eyach;Control
21;7;21_7;Kus;#3
21;8;21_8;Lu;#1
21;9;21_9;Kus;#2
3;1;3_1;Col0_acd6;Control
3;10;3_10;Schl;#1
3;11;3_11;Col0_acd6;#3
3;12;3_12;Schl;#3
3;13;3_13;Lu;Control
3;14;3_14;Col0;Control
3;15;3_15;Kus;#3
3;16;3_16;Tu-Wal_ics1;Control
3;17;3_17;Tu-Wal;#2
3;18;3_18;Eyach;Control
3;19;3_19;HE;#1+s14
3;2;3_2;Col0;#3
3;20;3_20;sid2-2;#2
3;21;3_21;HE;Control
3;22;3_22;Kus;#2
3;23;3_23;Lu;#3
3;24;3_24;Col0_acd6;#2
3;25;3_25;Tu-Wal;#1
3;26;3_26;Tu-Wal_acd6;#3
3;27;3_27;Kus;Control
3;28;3_28;Col0_acd6;#1
3;29;3_29;Tu-Wal_acd6;#2
3;3;3_3;HE;#1
3;30;3_30;HE;#2
3;31;3_31;Eyach;#3
3;32;3_32;Tu-Wal;Control
3;33;3_33;Tu-Wal;#3
3;34;3_34;sid2-2;#1
3;35;3_35;sid2-2;Control
3;36;3_36;HE;#1+s17
3;37;3_37;sid2-2;#3
3;38;3_38;Kus;#1
3;39;3_39;HE;#1+s15
